Estado,Cidade,Total_de_mortes,Populacao_inicial,Populacao_final
CE,Ibiapina,33,25082,24997
CE,Ibicuitinga,22,12629,12525
CE,Icapuí,33,20060,19934
CE,Icó,124,68162,68018
CE,Iguatu,233,103074,102498
CE,Importados/Indefinidos,57,0,0
CE,Independência,56,26187,26178
CE,Ipaporanga,17,11596,11593
CE,Ipaumirim,20,12485,12463
CE,Ipu,79,42058,41964
CE,Ipueiras,59,38114,38166
CE,Iracema,35,14326,14297
CE,Irauçuba,44,24305,24156
CE,Itaitinga,70,38325,37980
CE,Itaiçaba,22,7866,7827
CE,Itapajé,138,53067,52675
CE,Itapipoca,283,130539,129358
CE,Itapiúna,38,20520,20382
CE,Itarema,47,42215,41826
CE,Itatira,41,21836,21647
CE,Jaguaretama,43,18147,18162
CE,Jaguaribara,25,11492,11401
CE,Jaguaribe,79,34636,34682
CE,Jaguaruana,71,33834,33705
CE,Jardim,58,27181,27174
CE,Jati,14,8130,8111
CE,Jijoca de Jericoacoara,31,20087,19816
CE,Juazeiro do Norte,642,276264,274207
CE,Jucás,68,24892,24833
CE,Lavras da Mangabeira,54,31492,31508
CE,Limoeiro do Norte,147,59890,59540
CE,Madalena,37,19864,19691
CE,Maracanaú,743,229458,227886
CE,Maranguape,267,130346,128978
CE,Marco,36,27595,27361
CE,Martinópole,27,11321,11233
CE,Massapê,86,39044,38737
CE,Mauriti,114,48168,47962
CE,Meruoca,33,15185,15057
CE,Milagres,64,27462,27512
CE,Milhã,31,13142,13155
CE,Miraíma,19,13894,13818
CE,Missão Velha,56,35480,35393
CE,Mombaça,111,43858,43797
CE,Monsenhor Tabosa,41,17249,17234
CE,Morada Nova,168,61738,61890
CE,Moraújo,23,8779,8724
CE,Morrinhos,33,22685,22534
CE,Mucambo,30,14549,14537
CE,Mulungu,20,10941,10823
CE,Nova Olinda,20,15684,15565
CE,Nova Russas,70,32408,32328
CE,Novo Oriente,40,28673,28607
CE,Ocara,43,25833,25703
CE,Orós,88,21384,21427
CE,Pacajus,122,73188,72203
CE,Pacatuba,239,84554,83432
CE,Pacoti,27,12288,12261
CE,Pacujá,11,6549,6533
CE,Palhano,26,9422,9386
CE,Palmácia,23,13439,13322
CE,Paracuru,112,35304,35076
CE,Paraipaba,76,32992,32744
CE,Parambu,67,31455,31521
CE,Paramoti,19,12252,12226
CE,Pedra Branca,65,43309,43258
